position,status,name,model,operator,launch_place,launch_data
48 E,active,"Al Yah 2 (Yahsat 1B, Y1B)",Eurostar-3000,Al Yah Satellite Communications Company PrJSC (Yahsat),6050,23-Apr-2012
48 E,disabled,Lybid 1 (Лыбидь-1),Express-1000NT,Ukrkosmos,1845,30-Dec-2023
48 E,active,Eutelsat Quantum,GMP-T,Eutelsat Communications S.A.,3461,30-Jul-2021
48 E,active,GSAT 19 (GSAT-19E),I-6K (modular) Bus,Indian National Satellite (INSAT),3136,5-Jun-2017
48 E,active,GSAT 31,I-2K (I-2000) Bus,NewSpace India Ltd (NSIL),2536,5-Feb-2019
48 E,retired,"Eutelsat 48C (E21A, W6, Eutelsat W6, Eutelsat W3, Eutelsat 21A)",Spacebus-3000B2,Eutelsat Communications S.A.,2490,12-Apr-1999
48 E,retired,"Eutelsat 48A (E48A, W48, Eutelsat W48, HB2, Hotbird 2, Hot Bird 2, Eurobird 9)",Eurostar-2000+,Eutelsat Communications S.A.,2915,21-Nov-1996
48 E,deorbited,"Eutelsat 48E (E48E, E70C, E36A, W4, Eutelsat W4, E80A)",Spacebus-3000B2,Eutelsat Communications S.A.,3190,24-May-2000
48 E,retired,Insat 4CR,I-2K (I-2000) Bus,Indian National Satellite (INSAT),2168,2-Sep-2007
49 E,active,Yamal 601,Spacebus-4000C4,Gazprom Space Systems,5422,30-May-2019
50 E,active,"Eutelsat 36B (E36B, W7, Eutelsat W7)",Spacebus-4000C4,Eutelsat Communications S.A.,5627,24-Nov-2009
50 E,active,Turksat 4B,DS2000,Turksat,4977,16-Oct-2015
50 E,deorbited,"Galaxy 26 (G-26, Telstar 6, Intelsat Americas 6, IA-6)",LS-1300,Intelsat,3765,15-Feb-1999
50 E,retired,NSS 5 (Intelsat 803),AS-7000,SES S.A.,3412,23-Sep-1997
51 E,deorbited,Sirius 3,HS-376HP,SES S.A.,1400,5-Oct-1998
51 E,deorbited,Thaicom 2,HS-376L,Thaicom Plc.,1080,7-Oct-1994
51 E,active,BELINTERSAT-1,DFH-4 Bus,Belintersat,5223,15-Jan-2016
52 E,deorbited,"Chinasat 5D (ZX-5D, Apstar 1A)",HS-376,China Satellite Communications Co. Ltd.(China Satcom),1400,3-Jul-1996
52 E,disabled,"Chinasat 15 (Zhongxing 15, ZX-15)",DFH-4 Bus,China Satellite Communications Co. Ltd.(China Satcom),5400,30-Jun-2016
52 E,active,"TurkmenAlem (TurkmenÄlem 520E, Turkmenspace 1, Turkmensat-1, MonacoSat)",Spacebus-4000C2,Turkmen Hemrasy/SSI Monaco,4731,28-Apr-2015
53 E,active,"Express AM6 (Ekspress AM6, EAM6, Eutelsat 53A, E53A)",Express-2000,Russian Satellite Communications Company,3400,21-Oct-2014
53 E,active,"Al Yah 1 (Yahlive, Y1A, Yahsat Y1A, Yahsat 1A)",Eurostar-3000,Al Yah Satellite Communications Company PrJSC (Yahsat),5935,22-Apr-2011
53 E,active,Skynet 5D,Eurostar-3000S,Paradigm Secure Communications Ltd (EADS Company),4800,19-Dec-2012
